unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,bridge_highway_name,bridge_highway_segment,closed_date,Processing_time,resolution_description,resolution_action_updated_date,bridge_highway_direction,facility_type,road_ramp,taxi_pick_up_location,vehicle_type,taxi_company_borough
52579420,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,130-33 116 STREET,116 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,116 STREET,In Progress,10 QUEENS,4117230019,QUEENS,1033459,185021,ONLINE,Unspecified,QUEENS,40.67437989,-73.82259816,"{'latitude': '40.67437988831109', 'longitude': '-73.82259815629543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24016,62,3,41,64,,,,,,,,,,,,
52575478,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,1480 POPHAM AVENUE,POPHAM AVENUE,WEST  174 STREET,WEST  175 STREET,WEST  174 STREET,WEST  175 STREET,ADDRESS,BRONX,POPHAM AVENUE,In Progress,05 BRONX,2028770211,BRONX,1005860,248194,ONLINE,Unspecified,BRONX,40.84788381,-73.9218913,"{'latitude': '40.847883810504094', 'longitude': '-73.92189129741487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10931,6,5,29,29,,,,,,,,,,,,
52579413,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,312 GRAND STREET,GRAND STREET,ROEBLING STREET,HAVEMEYER STREET,ROEBLING STREET,HAVEMEYER STREET,ADDRESS,BROOKLYN,GRAND STREET,In Progress,01 BROOKLYN,3023950016,BROOKLYN,996135,198994,ONLINE,Unspecified,BROOKLYN,40.71286133,-73.95712905,"{'latitude': '40.71286132514765', 'longitude': '-73.95712904559723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613,36,2,30,56,,,,,,,,,,,,
52572758,"Sunday, November 21, 2021",NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10455,528 TIMPSON PLACE,TIMPSON PLACE,EAST  147 STREET,EAST  149 STREET,EAST  147 STREET,EAST  149 STREET,ADDRESS,BRONX,TIMPSON PLACE,In Progress,01 BRONX,2026000197,BRONX,1010998,234950,ONLINE,Unspecified,BRONX,40.81151878,-73.90337297,"{'latitude': '40.811518776111825', 'longitude': '-73.90337296740098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10933,8,5,35,24,,,,,,,,,,,,
52574395,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,69 STREET,69 STREET,69 STREET,ROOSEVELT AVENUE,69 STREET,ROOSEVELT AVENUE,INTERSECTION,,,In Progress,02 QUEENS,,QUEENS,1012977,211203,ONLINE,Unspecified,QUEENS,40.74633337,-73.89632538,"{'latitude': '40.7463333675529', 'longitude': '-73.8963253758781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14787,53,3,33,66,,,,,,,,,,,,
52573711,"Sunday, November 21, 2021",NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,In Progress,Unspecified MANHATTAN,,MANHATTAN,1000931,248010,MOBILE,Unspecified,MANHATTAN,40.84738947,-73.93970747,"{'latitude': '40.847389472342215', 'longitude': '-73.93970747268665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13091,47,4,39,21,A,Mezzanine,,,,,,,,,,
52578455,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10453,1981 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  179 STREET,HALL OF FAME TERRACE,WEST  179 STREET,HALL OF FAME TERRACE,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,05 BRONX,2032300016,BRONX,1007440,251439,PHONE,Unspecified,BRONX,40.85678636,-73.91616921,"{'latitude': '40.856786359430565', 'longitude': '-73.91616921311291', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10931,6,5,29,29,,,,,,,,,,,,
52579423,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11433,108-46 159 STREET,159 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,159 STREET,In Progress,12 QUEENS,4101460051,QUEENS,1041701,192069,MOBILE,Unspecified,QUEENS,40.69367533,-73.79282519,"{'latitude': '40.69367533451097', 'longitude': '-73.79282518668198', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24668,41,3,46,61,,,,,,,,,,,,
52579501,"Sunday, November 21, 2021",NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,44 RICHARDSON STREET,RICHARDSON STREET,UNION AVENUE,LORIMER STREET,UNION AVENUE,LORIMER STREET,ADDRESS,BROOKLYN,RICHARDSON STREET,In Progress,01 BROOKLYN,3027310024,BROOKLYN,997931,200953,MOBILE,Unspecified,BROOKLYN,40.71823572,-73.95064663,"{'latitude': '40.71823571572727', 'longitude': '-73.95064662770703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613,36,2,38,57,,,,,,,,,,,,
52573766,"Sunday, November 21, 2021",NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11230,767 EAST    8 STREET,EAST    8 STREET,FOSTER AVENUE,AVENUE H,FOSTER AVENUE,AVENUE H,ADDRESS,BROOKLYN,EAST    8 STREET,In Progress,14 BROOKLYN,3064960067,BROOKLYN,992811,168984,ONLINE,Unspecified,BROOKLYN,40.63049445,-73.96915732,"{'latitude': '40.630494451332666', 'longitude': '-73.96915731911103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13513,60,2,11,43,,,,,,,,,,,,
